iter	RMSE
0	116.3564027
1	115.8485621
2	115.4068117
3	115.0247947
4	114.6954297
5	114.4439279
6	114.1672838
7	113.9382871
8	113.7360265
9	113.5736197
10	113.3657054
11	113.1993149
12	113.0604465
13	112.9543534
14	112.8074186
15	112.6662842
16	112.5294319
17	112.3961198
18	112.2840746
19	112.2102172
20	112.1071596
21	112.0245371
22	111.9260524
23	111.834916
24	111.7347509
25	111.6606473
26	111.5890677
27	111.5410977
28	111.4834945
29	111.4292063
30	111.3342238
31	111.2833601
32	111.2459697
33	111.2022638
34	111.1620643
35	111.1081786
36	111.0714057
37	111.0130324
38	110.9830378
39	110.9131882
40	110.8711564
41	110.7939904
42	110.747195
43	110.6831101
44	110.6114486
45	110.5539295
46	110.5038098
47	110.482766
48	110.451512
49	110.3631928
50	110.3228226
51	110.2605522
52	110.2235073
53	110.158691
54	110.0986601
55	110.0807353
56	110.024075
57	110.0105191
58	109.9858305
59	109.8709475
60	109.8469462
61	109.8316352
62	109.7619754
63	109.7100314
64	109.6924412
65	109.6684232
66	109.6235745
67	109.584673
68	109.5352923
69	109.4824548
70	109.4626855
71	109.4451164
72	109.4188981
73	109.3659807
74	109.343103
75	109.3184888
76	109.2845609
77	109.26761
78	109.2404461
79	109.2166598
80	109.1861955
81	109.1558774
82	109.1259501
83	109.0875264
84	109.0567968
85	109.0071001
86	108.9847317
87	108.9341328
88	108.8976318
89	108.8515692
90	108.7812504
91	108.7407295
92	108.7187428
93	108.6985439
94	108.6735932
95	108.6082493
96	108.5925407
97	108.5711467
98	108.5141313
99	108.4903615
100	108.484818
101	108.4513143
102	108.4197007
103	108.398411
104	108.3497831
105	108.3229829
106	108.2761777
107	108.2431365
108	108.1954454
109	108.1602615
110	108.1386057
111	108.1131618
112	108.0963136
113	108.0809098
114	108.05171
115	107.9629619
116	107.9408785
117	107.920208
118	107.8786314
119	107.8401192
120	107.827968
121	107.7908735
122	107.7637923
123	107.7505022
124	107.7135308
125	107.6849125
126	107.6620951
127	107.6424677
128	107.6070686
129	107.5968642
130	107.561006
131	107.5360402
132	107.5179631
133	107.4952026
134	107.475064
135	107.4200485
136	107.3895351
137	107.3832192
138	107.3457463
139	107.3354396
140	107.3151547
141	107.2912278
142	107.2565754
143	107.2313905
144	107.2158852
145	107.1881298
146	107.1796825
147	107.1708663
148	107.1309213
149	107.1173619
150	107.0731802
151	107.0608035
152	107.0262487
153	106.9972203
154	106.9915681
155	106.9535621
156	106.9375824
157	106.8947732
158	106.874066
159	106.8512365
160	106.8371848
161	106.781619
162	106.7603818
163	106.7420133
164	106.7305302
165	106.722383
166	106.689288
167	106.6722675
168	106.6425
169	106.6194151
170	106.5877247
171	106.5615388
172	106.5457011
173	106.5299213
174	106.5071111
175	106.4892321
176	106.4830294
177	106.4728981
178	106.4677254
179	106.4590244
180	106.428731
181	106.3987615
182	106.3700081
183	106.3189254
184	106.2854501
185	106.2584676
186	106.2145907
187	106.1936044
188	106.1880177
189	106.1809183
190	106.1576614
191	106.116707
192	106.066882
193	106.0193177
194	105.9983301
195	105.9757214
196	105.9452868
197	105.9368331
198	105.9228289
199	105.9090232
200	105.8909115
201	105.8858167
202	105.8681314
203	105.8445683
204	105.8395393
205	105.8027006
206	105.7764064
207	105.7482814
208	105.7158316
209	105.7126681
210	105.6902388
211	105.6572876
212	105.6520818
213	105.6303931
214	105.5990846
215	105.5634541
216	105.5445748
217	105.5215045
218	105.5078848
219	105.490698
220	105.4794215
221	105.4668017
222	105.4597147
223	105.4356223
224	105.410841
225	105.3921977
226	105.3669303
227	105.3345842
228	105.3223817
229	105.3194292
230	105.2983557
231	105.2855824
232	105.2653025
233	105.2526349
234	105.2342729
235	105.2312629
236	105.2284858
237	105.2127131
238	105.2069954
239	105.1800693
240	105.1570679
241	105.1311116
242	105.1039266
243	105.0885469
244	105.076883
245	105.0555626
246	105.0435451
247	105.0146614
248	105.0031022
249	104.9923171
250	104.98246
251	104.9725332
252	104.9530682
253	104.9370965
254	104.8546081
255	104.84165
256	104.8139401
257	104.7800564
258	104.765061
259	104.7463761
260	104.7265125
261	104.7210027
262	104.6858105
263	104.6808099
264	104.6618616
265	104.6400582
266	104.6110879
267	104.6095016
268	104.6003807
269	104.599343
270	104.5865728
271	104.5724791
272	104.5575737
273	104.5394869
274	104.5379482
275	104.5151562
276	104.4940571
277	104.470636
278	104.4610381
279	104.4313791
280	104.4189702
281	104.3863151
282	104.376036
283	104.3679751
284	104.3450866
285	104.2744336
286	104.2623881
287	104.2574186
288	104.2424126
289	104.2239753
290	104.2097069
